comentario;sentimiento
Su manera de enseñar demuestra una profunda comprensión de cómo aprendemos mejor.;Positivo
Nunca había tenido un profesor que me retara intelectualmente y apoyara emocionalmente.;Positivo
Agradezco todas las oportunidades de mejora que nos ha brindado con generosidad y paciencia.;Positivo
Tiene una capacidad asombrosa para explicar conceptos complejos desde múltiples ángulos.;Positivo
Es admirable cómo mantiene actualizados tanto los contenidos como sus estrategias pedagógicas.;Positivo
Su pasión por la enseñanza es evidente en cada detalle de su labor y preparación.;Positivo
Gracias por ser tan paciente con nuestros procesos individuales de comprensión y aprendizaje.;Positivo
Ha transformado mi manera de estudiar haciéndola más organizada profunda y disfrutable.;Positivo
Valoro especialmente cómo fomenta el respeto mutuo y la colaboración entre compañeros.;Positivo
Su clase es un ejemplo brillante de pedagogía efectiva y enseñanza de alta calidad.;Positivo
Nunca me sentí solo en mis dificultades gracias a su orientación constante y apoyo.;Positivo
Aprecio profundamente su justicia y transparencia en cada evaluación y retroalimentación.;Positivo
Tiene el don de hacer que los conceptos más abstractos sean claros accesibles y atractivos.;Positivo
Es increíble cómo logra mantener la motivación y el interés durante todo el curso.;Positivo
Su dedicación ha sido fundamental para mi desarrollo tanto profesional como humano.;Positivo
Gracias por ser tan accesible y dispuesto a ayudar a pesar de su apretada agenda académica.;Positivo
Ha creado en mí habilidades de pensamiento crítico y análisis que serán invaluables.;Positivo
Valoro especialmente cómo relaciona cada tema con aplicaciones prácticas y situaciones reales.;Positivo
Su manera de enseñar es un modelo de paciencia conocimiento profundo y vocación docente.;Positivo
Nunca había experimentado tal nivel de compromiso dedicación y pasión en un educador.;Positivo
Agradezco todas las veces que fue más allá de lo requerido para nuestro beneficio académico.;Positivo
Tiene una manera única de hacer que todos nos sintamos valorados escuchados y motivados.;Positivo
Es admirable cómo equilibra el rigor intelectual con la calidez humana y comprensión.;Positivo
Su pasión por vernos triunfar es genuina y se refleja en cada interacción que tenemos.;Positivo
Gracias por ser tan meticuloso en la preparación de materiales clases y actividades.;Positivo
Ha transformado materias que me parecían intimidantes en áreas de interés y dominio.;Positivo
Valoro especialmente cómo fomenta la aplicación concreta y práctica de lo aprendido.;Positivo
Su clase es un espacio donde el conocimiento se construye de manera colaborativa y significativa.;Positivo
Nunca pensé que podría disfrutar tanto el proceso de aprendizaje hasta sus enseñanzas.;Positivo
Aprecio profundamente su disponibilidad para atender nuestras dudas y necesidades individuales.;Positivo
Tiene el talento de hacer accesibles e interesantes incluso los temas más complejos.;Positivo
Es increíble cómo mantiene la energía entusiasmo y profesionalismo en cada sesión.;Positivo
Su compromiso con nuestra formación integral va mucho más allá de lo estrictamente académico.;Positivo
Gracias por ser tan flexible y capaz de adaptarse a nuestros diversos estilos de aprendizaje.;Positivo
Ha creado en mí una base sólida de conocimientos y habilidades fundamentales para mi futuro.;Positivo
Valoro especialmente cómo integra feedback constante para mejorar continuamente el proceso.;Positivo
Su manera de enseñar demuestra un profundo respeto por nuestro desarrollo integral.;Positivo
Nunca había tenido un profesor que me inspirara tanto a superar mis propios límites.;Positivo
Agradezco todas las oportunidades de crecimiento que nos ha brindado con generosidad.;Positivo
Tiene una capacidad asombrosa para identificar y potenciar nuestras fortalezas individuales.;Positivo
Es admirable cómo mantiene actualizados tanto contenidos como métodos de enseñanza.;Positivo
Su dedicación ha marcado una diferencia crucial en mi camino educativo y profesional.;Positivo
Gracias por ser tan accesible a pesar de sus múltiples responsabilidades académicas.;Positivo
Ha transformado mi manera de enfrentar desafíos intelectuales con confianza y método.;Positivo
Valoro especialmente cómo fomenta el pensamiento crítico creativo e independiente.;Positivo
Su clase es un modelo de cómo la educación puede ser verdaderamente transformadora de vidas.;Positivo
Nunca me sentí juzgado por mis preguntas o dificultades en su espacio de aprendizaje.;Positivo
Aprecio profundamente su honestidad transparencia y equidad en cada aspecto del curso.;Positivo
Tiene el don de hacer que el aprendizaje sea una experiencia profundamente enriquecedora.;Positivo
Es increíble cómo logra mantenernos motivados comprometidos y entusiasmados durante el semestre.;Positivo
Su pasión por enseñar es contagiosa y nos inspira a dar lo mejor de nosotros mismos.;Positivo
Gracias por ser tan paciente con nuestros diferentes ritmos y procesos de comprensión.;Positivo
Ha creado en mí una confianza en mis capacidades intelectuales que nunca antes había tenido.;Positivo
Valoro especialmente cómo prepara materiales pensando genuinamente en nuestras necesidades.;Positivo
Su manera de enseñar es un ejemplo de excelencia académica dedicación y vocación docente.;Positivo
Nunca había experimentado tal nivel de compromiso preparación y pasión en un educador.;Positivo
Agradezco todas las veces que nos apoyó incondicionalmente en nuestro crecimiento integral.;Positivo
Tiene una manera única de hacer que todos nos sintamos parte activa y valiosa del proceso.;Positivo
Es admirable cómo equilibra teoría y práctica enriqueciendo cada lección con experiencias.;Positivo
Su dedicación ha marcado un antes y después en mi formación profesional y personal.;Positivo
Gracias por ser tan comprensivo con nuestras circunstancias individuales y desafíos.;Positivo
Ha transformado mi manera de estudiar haciéndola más efectiva profunda y significativa.;Positivo
Valoro especialmente cómo fomenta la participación equitativa y el respeto mutuo.;Positivo
Su clase es un espacio donde el aprendizaje trasciende lo académico para ser transformador.;Positivo
Nunca pensé que podría entender estos conceptos hasta sus claras y detalladas explicaciones.;Positivo
Aprecio profundamente su disponibilidad para resolver dudas incluso fuera del horario establecido.;Positivo
Tiene el talento de hacer que el conocimiento sea relevante aplicable y conectado con la realidad.;Positivo
Es increíble cómo mantiene el interés y la curiosidad en temas que antes me parecían áridos.;Positivo
Su compromiso con nuestro éxito integral va mucho más allá de las calificaciones o requisitos.;Positivo
Gracias por ser tan flexible y capaz de adaptar sus métodos a nuestras diversas necesidades.;Positivo
Ha creado en mí una base de conocimiento habilidades y valores que serán fundamentales.;Positivo
Valoro especialmente cómo integra diferentes perspectivas enriqueciendo cada tema abordado.;Positivo
Su manera de enseñar demuestra una profunda comprensión de cómo aprendemos mejor.;Positivo
Nunca había tenido un profesor que me retara intelectualmente y apoyara emocionalmente.;Positivo
Agradezco todas las oportunidades de mejora que nos ha brindado con generosidad y paciencia.;Positivo
Tiene una capacidad asombrosa para explicar conceptos complejos desde múltiples ángulos.;Positivo
Es admirable cómo mantiene actualizados tanto los contenidos como sus estrategias pedagógicas.;Positivo
Su pasión por la enseñanza es evidente en cada detalle de su labor y preparación.;Positivo
Gracias por ser tan paciente con nuestros procesos individuales de comprensión y aprendizaje.;Positivo
Ha transformado mi manera de estudiar haciéndola más organizada profunda y disfrutable.;Positivo
Valoro especialmente cómo fomenta el respeto mutuo y la colaboración entre compañeros.;Positivo
Su clase es un ejemplo brillante de pedagogía efectiva y enseñanza de alta calidad.;Positivo
Nunca me sentí solo en mis dificultades gracias a su orientación constante y apoyo.;Positivo
Aprecio profundamente su justicia y transparencia en cada evaluación y retroalimentación.;Positivo
Tiene el don de hacer que los conceptos más abstractos sean claros accesibles y atractivos.;Positivo
Es increíble cómo logra mantener la motivación.;Positivo
Es puntual;Positivo
Resuelve dudas claramente;Positivo
Explica con claridad;Positivo
Tiene buena pedagogía;Positivo
Responde mensajes rápido;Positivo
Clases interesantes;Positivo
Tiene dominio del tema;Positivo
Califica de forma justa;Positivo
Presta atención a los alumnos;Positivo
Motiva a aprender;Positivo
Sabe enseñar bien;Positivo
Tiene paciencia;Positivo
Es muy amable;Positivo
Explica despacio y claro;Positivo
Se le entiende perfectamente;Positivo
Prepara sus clases;Positivo
Se nota su interés;Positivo
Escucha a los alumnos;Positivo
Se preocupa por el aprendizaje;Positivo
Da trabajos adecuados;Positivo
Deja tareas pertinentes;Positivo
Clases organizadas;Positivo
Usa buenos ejemplos;Positivo
Equilibra teoría y práctica;Positivo
Tiene empatía;Positivo
Responde con respeto;Positivo
Genera confianza;Positivo
Es tranquilo y paciente;Positivo
Respeta a los estudiantes;Positivo
Es humilde;Positivo
Fomenta la participación;Positivo
Acepta opiniones;Positivo
Llega a tiempo;Positivo
Responde correos;Positivo
Trata bien a los alumnos;Positivo
Sigue el sílabo;Positivo
Prepara bien las clases;Positivo
Explica con profundidad;Positivo
Habla con claridad;Positivo
Revisa tareas;Positivo
Devuelve notas rápido;Positivo
Aclara dudas;Positivo
Guía bien a los alumnos;Positivo
Usa bien el tiempo;Positivo
Habla con buena entonación;Positivo
Promueve el diálogo;Positivo
Usa recursos didácticos;Positivo
Atiende consultas;Positivo
Avisa con anticipación cambios;Positivo
Es flexible;Positivo
Es claro;Positivo
Asiste a clase siempre;Positivo
Entrega materiales a tiempo;Positivo
Evalúa con criterio;Positivo
Tiene claridad al explicar;Positivo
Clases dinámicas;Positivo
Usa variedad de métodos;Positivo
Tiene buena actitud;Positivo
Es organizado;Positivo
Controla bien el aula;Positivo
Responde preguntas;Positivo
Genera ambiente positivo;Positivo
Explica la nota;Positivo
Usa recursos tecnológicos;Positivo
Da retroalimentación;Positivo
Considera opiniones;Positivo
ASISTENCIA OBLIGATORIA;Positivo
Corrige errores con tacto;Positivo
Es imparcial;Positivo
Pone atención a todos;Positivo
Buen profesor para laboratorio;Positivo
Buen profesor para teoria;Positivo
Habla con sentido;Positivo
Cumple lo prometido;Positivo
Organiza bien el curso;Positivo
Explica tareas claramente;Positivo
Se enfoca en lo positivo;Positivo
Reduce presión;Positivo
Está capacitado;Positivo
Asiste a clases;Positivo
Es exigente pero justo;Positivo
Aporta al aprendizaje;Positivo
Es un papu pro;Positivo
Hace sentir bien;Positivo
Tiene vocación;Positivo
Actualiza el contenido;Positivo
Inspira confianza;Positivo
Tiene buen trato;Positivo
Genera respeto;Positivo
Tiene carisma;Positivo
guías son muy fáciles de seguir;Positivo
guías son fáciles de seguir;Positivo
Valora el esfuerzo;Positivo
Acepta errores;Positivo
Da ejemplos claros;Positivo
Justifica las notas;Positivo
Es respetuoso;Positivo
Maneja tecnología bien;Positivo
Explica de forma atractiva;Positivo
Mantiene el interés;Positivo
Corrige a tiempo;Positivo
Se concentra en clase;Positivo
Atiende reclamos con respeto;Positivo
Anima a los estudiantes;Positivo
Cumple horarios;Positivo
Muestra interés;Positivo
Fomenta respeto;Positivo
Valora opiniones;Positivo
Motiva al diálogo;Positivo
Pone buena actitud;Positivo
Reconoce errores;Positivo
Es un insanazo;Positivo
Ayuda a mejorar;Positivo
Promueve orden;Positivo
Respeta el turno;Positivo
Habla con confianza;Positivo
Da retroalimentación constructiva;Positivo
Hace seguimiento;Positivo
Se muestra calmado;Positivo
Reconoce esfuerzo;Positivo
Explica bien los temas;Positivo
Contextualiza contenidos;Positivo
Es comunicativo;Positivo
Usa material didáctico;Positivo
Muestra entusiasmo;Positivo
Fomenta trabajo en equipo;Positivo
Es accesible;Positivo
Facilita el aprendizaje;Positivo
Usa lenguaje sencillo;Positivo
Se mantiene atento;Positivo
Evalúa con justicia;Positivo
Pone tareas adecuadas;Positivo
Es justo con las calificaciones;Positivo
Usa recursos visuales;Positivo
Se preocupa poco por sus estudiantes;Positivo
Organiza actividades;Positivo
Actualiza conocimientos;Positivo
profe te guia muchas cosas;Positivo
Usa ejemplos prácticos;Positivo
Adapta la clase;Positivo
Atiende a todos;Positivo
Da apoyo extra;Positivo
Considera necesidades especiales;Positivo
Controla la disciplina;Positivo
Escucha a los estudiantes;Positivo
Da críticas constructivas;Positivo
Escucha sugerencias;Positivo
Se prepara para la clase;Positivo
Organiza el tiempo bien;Positivo
Es ordenado;Positivo
Motiva a participar;Positivo
Reconoce el mérito;Positivo
Responde a tiempo;Positivo
Da información correcta;Positivo
Revisa trabajos;Positivo
Se comunica bien;Positivo
Atiende quejas;Positivo
Es cercano;Positivo
Se actualiza;Positivo
Tiene plan de clases;Positivo
Explica los objetivos;Positivo
Promueve aprendizaje activo;Positivo
Es claro en la evaluación;Positivo
Da indicaciones claras;Positivo
ayuda a los que están interesados;Positivo
ayuda a los que participan mucho;Positivo
Responde correos rápidamente;Positivo
Explica el contenido claramente;Positivo
nos ayudo;Positivo
Atiende necesidades;Positivo
Genera interés;Positivo
Fomenta creatividad;Positivo
Reconoce avances;Positivo
Es paciente con dudas;Positivo
Da confianza;Positivo
Es motivador;Positivo
Incentiva a estudiar;Positivo
Responde preguntas con claridad;Positivo
Es tolerante;Positivo
Facilita comprensión;Positivo
Explica con calma;Positivo
Se interesa por mejorar;Positivo
Ayuda a resolver dudas;Positivo
Respeta horarios;Positivo
Orienta bien;Positivo
Da oportunidad para preguntas;Positivo
Hace revisiones;Positivo
Organiza bien la clase;Positivo
Cumple programa;Positivo
Actualiza materiales;Positivo
Ayuda en dificultades;Positivo
Promueve participación;Positivo
Tiene buena comunicación;Positivo
Explica conceptos;Positivo
Atiende reclamos;Positivo
Da seguimiento;Positivo
Es profesional;Positivo
Atiende al grupo;Positivo
Da feedback;Positivo
Motiva al estudiante;Positivo
Fomenta colaboración;Positivo
Explica ejercicios bien;Positivo
Apoya el aprendizaje;Positivo
Es puntual con entregas;Positivo
Explica materia bien;Positivo
Fomenta confianza;Positivo
Cumple normas;Positivo
Es atento;Positivo
Atiende estudiantes;Positivo
Promueve disciplina;Positivo
Facilita aprendizaje;Positivo
Explica tareas bien;Positivo
Orienta estudiantes;Positivo
Da ejemplos claros;Positivo
Promueve inclusión;Positivo
BRINDA APOYO;Positivo
MUY CÓMICO;Positivo
CALIFICA DURO;Positivo
Da seguimiento a trabajos;Positivo
Fomenta diálogo;Positivo
Atiende a tiempo;Positivo
Promueve responsabilidad;Positivo
Explica contenido;Positivo
Fomenta trabajo en grupo;Positivo
Corrige errores;Positivo
Respeta horarios;Positivo
Promueve respeto;Positivo
Explica reglas;Positivo
Motiva en clase;Positivo
Facilita comprensión;Positivo
Da explicaciones;Positivo
Gestiona bien la clase;Positivo
Da materiales;Positivo
Reconoce avances;Positivo
Fomenta aprendizaje;Positivo
Da tareas claras;Positivo
Promueve disciplina;Positivo
Respeta horarios;Positivo
Facilita aprendizaje;Positivo
Da ejemplos;Positivo
Organiza clase bien;Positivo
Explica conceptos bien;Positivo
Da explicaciones claras;Positivo
Motiva en clase;Positivo
Promueve respeto;Positivo
Responde mensajes;Positivo
Organiza clase;Positivo
Motiva estudiante;Positivo
Explica contenidos;Positivo
Da tareas claras;Positivo
Promueve respeto;Positivo
Promueve participación;Positivo
Nunca explica los temas con claridad.;Negativo
Sus clases son completamente aburridas.;Negativo
No sabe mantener el orden en el aula.;Negativo
Se nota que no prepara las clases con anticipación.;Negativo
Tiene favoritismos muy marcados entre los alumnos.;Negativo
Sus métodos de enseñanza están obsoletos.;Negativo
No respeta los diferentes ritmos de aprendizaje.;Negativo
Se molesta cuando le hacen preguntas.;Negativo
Da por sentado que todos deben entender a la primera.;Negativo
No actualiza sus materiales didácticos.;Negativo
Es extremadamente desorganizado.;Negativo
No cumple con los horarios establecidos.;Negativo
Sus evaluaciones no reflejan lo enseñado.;Negativo
Tiene muy mala disposición para atender dudas.;Negativo
Critica a los alumnos en lugar de orientarlos.;Negativo
No genera ningún interés por la materia.;Negativo
Sus explicaciones son confusas y enredadas.;Negativo
Se pasa todo el tiempo leyendo diapositivas.;Negativo
No permite el intercambio de ideas.;Negativo
Castiga el pensamiento crítico.;Negativo
Tiene un trato frío y distante con los alumnos.;Negativo
No muestra pasión por lo que enseña.;Negativo
Sus correcciones son destructivas no constructivas.;Negativo
No respeta los puntos de vista diferentes.;Negativo
Se enoja cuando no entienden sus explicaciones.;Negativo
Hace comentarios sarcásticos que desmotivan.;Negativo
No domina los temas que debe enseñar.;Negativo
Llega tarde constantemente a clases.;Negativo
No tiene paciencia para explicar nuevamente.;Negativo
Sus clases carecen de estructura lógica.;Negativo
No motiva a los estudiantes en absoluto.;Negativo
Se limita a dictar contenido sin interactuar.;Negativo
No proporciona ejemplos prácticos útiles.;Negativo
Sus exámenes tienen preguntas capciosas.;Negativo
No crea un ambiente de confianza en el aula.;Negativo
Ignora por completo a los alumnos con dificultades.;Negativo
Sus criterios de evaluación son inconsistentes.;Negativo
No fomenta la participación activa.;Negativo
Se contradice frecuentemente en sus explicaciones.;Negativo
No acepta sugerencias para mejorar sus clases.;Negativo
Tiene un tono de voz monótono que cansa.;Negativo
No establece objetivos claros de aprendizaje.;Negativo
Se burla de los errores en lugar de corregirlos.;Negativo
No muestra interés por el progreso de sus alumnos.;Negativo
Sus materiales están desactualizados y son irrelevantes.;Negativo
No da feedback útil sobre los trabajos.;Negativo
Se obsesiona con detalles insignificantes.;Negativo
No adapta su enseñanza a diferentes estilos.;Negativo
Tiene actitudes pasivo-agresivas con los estudiantes.;Negativo
No genera discusiones interesantes en clase.;Negativo
Sus ejercicios no tienen relación con la teoría.;Negativo
No explica el propósito de las actividades.;Negativo
Se muestra impaciente ante preguntas básicas.;Negativo
No relaciona los contenidos con aplicaciones reales.;Negativo
Tiene expectativas poco realistas sobre los alumnos.;Negativo
No corrige trabajos a tiempo.;Negativo
Se centra demasiado en la memorización.;Negativo
No ofrece oportunidades para recuperar.;Negativo
Sus clases son repetitivas y predecibles.;Negativo
No escucha las inquietudes de los estudiantes.;Negativo
Se aferra a un único método de enseñanza.;Negativo
No demuestra conocimiento pedagógico.;Negativo
Tiene un trato desigual con hombres y mujeres.;Negativo
No proporciona bibliografía adecuada.;Negativo
Se molesta si alguien no comparte su opinión.;Negativo
No incentiva la curiosidad intelectual.;Negativo
Sus explicaciones son superficiales.;Negativo
No respeta los tiempos de descanso.;Negativo
Se limita a seguir el libro de texto al pie de la letra.;Negativo
No acepta que puede estar equivocado.;Negativo
Tiene un humor inapropiado en clase.;Negativo
No planifica actividades interactivas.;Negativo
Se muestra indiferente ante el bajo rendimiento.;Negativo
No ayuda a desarrollar habilidades prácticas.;Negativo
Sus comentarios son desalentadores.;Negativo
No establece relaciones entre temas.;Negativo
Se encierra en su propia visión de la materia.;Negativo
No reconoce el esfuerzo de los alumnos.;Negativo
Tiene un sistema de evaluación injusto.;Negativo
No promueve el trabajo colaborativo.;Negativo
Se ofende cuando le señalan errores.;Negativo
No contextualiza históricamente los contenidos.;Negativo
Tiene problemas para gestionar el tiempo en clase.;Negativo
No utiliza ejemplos contemporáneos relevantes.;Negativo
Se resiste a incorporar tecnología educativa.;Negativo
No genera confianza en sus estudiantes.;Negativo
Sus clases carecen de dinamismo.;Negativo
No explica los criterios de evaluación claramente.;Negativo
Se muestra arrogante cuando no sabe algo.;Negativo
No relaciona su materia con otras disciplinas.;Negativo
Tiene dificultades para manejar grupos diversos.;Negativo
No ofrece variedad en las actividades.;Negativo
Se queja constantemente de los alumnos.;Negativo
No construye sobre conocimientos previos.;Negativo
Sus exámenes tienen errores conceptuales.;Negativo
No fomenta la autonomía en el aprendizaje.;Negativo
Se molesta si los alumnos van a su ritmo.;Negativo
No utiliza diferentes medios para enseñar.;Negativo
Tiene un vocabulario demasiado técnico sin explicar.;Negativo
No reconoce sus propias limitaciones.;Negativo
Se enfoca solo en los alumnos avanzados.;Negativo
No crea puentes entre teoría y práctica.;Negativo
Sus correcciones son vagas e inútiles.;Negativo
No anima a profundizar en los temas.;Negativo
Se muestra inflexible con los plazos.;Negativo
No valora el proceso solo los resultados.;Negativo
Tiene un enfoque demasiado abstracto.;Negativo
No comparte recursos adicionales útiles.;Negativo
Se resiste a cambios en su metodología.;Negativo
No promueve el pensamiento creativo.;Negativo
Sus clases son una pérdida de tiempo.;Negativo
No establece conexiones con la vida real.;Negativo
Se limita a cumplir el programa sin más.;Negativo
No acepta críticas constructivas.;Negativo
Tiene un trato paternalista con los alumnos.;Negativo
No explica la relevancia de lo que enseña.;Negativo
Se muestra desinteresado en resolver dudas.;Negativo
No varía los formatos de evaluación.;Negativo
Tiene problemas para explicar conceptos básicos.;Negativo
No fomenta la reflexión crítica.;Negativo
Se centra solo en contenidos factuales.;Negativo
No ofrece oportunidades para aplicar lo aprendido.;Negativo
Sus clases no tienen hilo conductor claro.;Negativo
No respeta los diferentes estilos de aprendizaje.;Negativo
Se muestra impuntual con las entregas.;Negativo
No genera engagement con la materia.;Negativo
Tiene un discurso poco coherente.;Negativo
No aprovecha las preguntas para profundizar.;Negativo
Se limita a evaluar por evaluación.;Negativo
No construye conocimiento colaborativamente.;Negativo
Sus explicaciones son demasiado teóricas.;Negativo
No demuestra actualización en su campo.;Negativo
Tiene un trato impersonal con los estudiantes.;Negativo
No contextualiza los autores que cita.;Negativo
Se muestra reacio a trabajar en equipo docente.;Negativo
No integra perspectivas interculturales.;Negativo
Sus clases no tienen ritmo adecuado.;Negativo
No utiliza casos prácticos relevantes.;Negativo
Tiene dificultad para simplificar conceptos.;Negativo
No promueve la investigación autónoma.;Negativo
Se enfoca solo en lo que vendrá en el examen.;Negativo
No valora la participación en clase.;Negativo
Tiene un sistema de calificación opaco.;Negativo
No ayuda a desarrollar habilidades blandas.;Negativo
Se muestra indiferente al clima del aula.;Negativo
No trabaja las dificultades comunes.;Negativo
Sus correcciones no ayudan a mejorar.;Negativo
No fomenta la interdisciplinariedad.;Negativo
Tiene un enfoque demasiado academicista.;Negativo
No comparte sus fuentes de información.;Negativo
Se resiste a metodologías activas.;Negativo
No construye sobre los intereses de los alumnos.;Negativo
Sus clases no motivan el estudio independiente.;Negativo
No utiliza el error como oportunidad de aprendizaje.;Negativo
Tiene un trato condescendiente.;Negativo
No explica cómo estudiar para sus evaluaciones.;Negativo
Se muestra inconsistente en sus criterios.;Negativo
No fomenta la aplicación creativa de conceptos.;Negativo
Sus explicaciones son excesivamente técnicas.;Negativo
No demuestra entusiasmo por enseñar.;Negativo
Tiene problemas para sintetizar ideas clave.;Negativo
No ofrece retroalimentación personalizada.;Negativo
Se centra en detalles irrelevantes.;Negativo
No promueve la autoevaluación.;Negativo
Sus clases no despiertan curiosidad.;Negativo
No utiliza analogías para explicar.;Negativo
Tiene un enfoque demasiado dogmático.;Negativo
No comparte sus expectativas claramente.;Negativo
Se muestra reacio a actualizar sus métodos.;Negativo
No aprovecha las tecnologías disponibles.;Negativo
Sus evaluaciones no miden comprensión real.;Negativo
No fomenta la transferencia de conocimientos.;Negativo
Tiene un discurso poco pedagógico.;Negativo
No ayuda a conectar conceptos.;Negativo
Se limita a cumplir con el horario.;Negativo
No valora el esfuerzo solo el acierto.;Negativo
Sus clases no tienen secuencia lógica.;Negativo
No utiliza variedad de recursos didácticos.;Negativo
Tiene dificultad para ejemplificar.;Negativo
No promueve la metacognición.;Negativo
Se muestra inflexible en su planificación.;Negativo
No construye sobre preguntas de los alumnos.;Negativo
Sus explicaciones son demasiado abstractas.;Negativo
No demuestra interés por mejorar.;Negativo
Tiene un trato poco empático.;Negativo
No contextualiza los problemas actuales.;Negativo
Se resiste a trabajar por proyectos.;Negativo
No integra feedback de los estudiantes.;Negativo
Sus clases no generan discusión.;Negativo
No utiliza el humor adecuadamente.;Negativo
Tiene un enfoque demasiado tradicional.;Negativo
No comparte criterios de excelencia.;Negativo
Se muestra desactualizado en su campo.;Negativo
No aprovecha las experiencias previas.;Negativo
Sus evaluaciones son impredecibles.;Negativo
No fomenta la indagación guiada.;Negativo
Tiene un discurso poco motivador.;Negativo
No ayuda a visualizar aplicaciones.;Negativo
Se limita a su perspectiva disciplinar.;Negativo
No valora los procesos de pensamiento.;Negativo
Sus clases no invitan a profundizar.;Negativo
No utiliza métodos variados de enseñanza.;Negativo
Tiene dificultad para conectar con alumnos.;Negativo
No promueve la autorregulación.;Negativo
Se muestra cerrado a nuevas ideas.;Negativo
No construye sobre dudas genuinas.;Negativo
Sus explicaciones son poco sistemáticas.;Negativo
No demuestra coherencia pedagógica.;Negativo
Tiene un trato poco profesional.;Negativo
No contextualiza para diferentes carreras.;Negativo
Se resiste a evaluaciones formativas.;Negativo
No integra problemas del mundo real.;Negativo
Sus clases no desarrollan habilidades.;Negativo
No utiliza ejemplos de diversas culturas.;Negativo
Tiene un enfoque demasiado rígido.;Negativo
No comparte sus procesos de pensamiento.;Negativo
Se muestra desconectado de su audiencia.;Negativo
No aprovecha las preguntas espontáneas.;Negativo
Sus evaluaciones no son formativas.;Negativo
No fomenta la resolución de problemas.;Negativo
Tiene un discurso poco claro.;Negativo
No ayuda a construir marcos conceptuales.;Negativo
Se limita a transmitir información.;Negativo
No valora la originalidad en las respuestas.;Negativo
Sus clases no preparan para desafíos reales.;Negativo
No utiliza técnicas de engagement.;Negativo
Tiene dificultad para mantener atención.;Negativo
No promueve el aprendizaje significativo.;Negativo
Se muestra indiferente a los resultados.;Negativo
No construye sobre conocimientos informales.;Negativo
Sus explicaciones son poco accesibles.;Negativo
No demuestra reflexión sobre su práctica.;Negativo
Tiene un trato poco respetuoso.;Negativo
No contextualiza para diferentes niveles.;Negativo
Se resiste a mostrar aplicaciones prácticas.;Negativo
No integra perspectivas críticas.;Negativo
Sus clases no desarrollan pensamiento.;Negativo
No utiliza recursos visuales efectivos.;Negativo
Tiene un enfoque demasiado pasivo.;Negativo
No comparte sus dudas sobre los temas.;Negativo
Se muestra incoherente en sus juicios.;Negativo
No aprovecha los intereses estudiantiles.;Negativo
Sus evaluaciones no promueven mejora.;Negativo
No fomenta la argumentación sólida.;Negativo
Tiene un discurso poco inspirador.;Negativo
No ayuda a ver la big picture.;Negativo
Se limita a cubrir el temario.;Negativo
No valora el proceso de aprendizaje.;Negativo
Sus clases no invitan a cuestionar.;Negativo
No utiliza estrategias metacognitivas.;Negativo
Tiene dificultad para gestionar grupos.;Negativo
No promueve la curiosidad intelectual.;Negativo
Se muestra cerrado al diálogo.;Negativo
No construye sobre errores comunes.;Negativo
Sus explicaciones son poco pedagógicas.;Negativo
No demuestra flexibilidad cognitiva.;Negativo
Tiene un trato poco alentador.;Negativo
No contextualiza para la empleabilidad.;Negativo
Se resiste a enfoques centrados en el alumno.;Negativo
No integra problemas complejos.;Negativo
Sus clases no desarrollan competencias.;Negativo
No utiliza ejemplos interdisciplinarios.;Negativo
Tiene un enfoque demasiado teórico.;Negativo
No comparte su proceso de evaluación.;Negativo
Se muestra desconectado de las necesidades.;Negativo
No aprovecha las tecnologías educativas.;Negativo
Sus evaluaciones no son transparentes.;Negativo
No fomenta la indagación autónoma.;Negativo
Tiene un discurso poco estructurado.;Negativo
No ayuda a ver conexiones globales.;Negativo
Se limita a su visión personal.;Negativo
No valora la diversidad de enfoques.;Negativo
Sus clases no preparan para la vida.;Negativo
no explica bien;Negativo
es impuntual;Negativo
no resuelve dudas;Negativo
es confuso al explicar;Negativo
no tiene pedagogía;Negativo
no responde mensajes;Negativo
clases aburridas;Negativo
no tiene dominio del tema;Negativo
califica de forma injusta;Negativo
no presta atención;Negativo
no motiva;Negativo
no sabe enseñar;Negativo
no tiene paciencia;Negativo
es muy seco;Negativo
explica muy rápido;Negativo
no se le entiende;Negativo
no prepara sus clases;Negativo
se nota desinterés;Negativo
no escucha a los alumnos;Negativo
no se preocupa por el aprendizaje;Negativo
da muchos trabajos;Negativo
deja muchas tareas;Negativo
clases desorganizadas;Negativo
no usa ejemplos;Negativo
se enfoca solo en teoría;Negativo
no tiene empatía;Negativo
responde mal;Negativo
genera estrés;Negativo
se molesta por todo;Negativo
no respeta a los estudiantes;Negativo
es arrogante;Negativo
no fomenta la participación;Negativo
no acepta opiniones;Negativo
se atrasa mucho;Negativo
no responde correos;Negativo
trata mal a los alumnos;Negativo
no sigue el sílabo;Negativo
improvisa mucho;Negativo
explica sin profundidad;Negativo
habla muy bajo;Negativo
no revisa tareas;Negativo
no devuelve notas;Negativo
genera confusión;Negativo
no guía adecuadamente;Negativo
usa mal el tiempo;Negativo
habla muy rápido;Negativo
no promueve el diálogo;Negativo
solo lee diapositivas;Negativo
no atiende consultas;Negativo
cambia fechas sin avisar;Negativo
es muy rígido;Negativo
no es claro;Negativo
falta mucho;Negativo
no entrega materiales;Negativo
evalúa sin criterio;Negativo
no tiene claridad;Negativo
su clase es monótona;Negativo
solo dicta;Negativo
tiene mala actitud;Negativo
es muy desorganizado;Negativo
no controla el aula;Negativo
